Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,91.42,91.75,90.96,91.38,89.6446,4351600
2024-05-23,91.51,91.6,90.39,90.57,88.85,2844117
2024-05-24,90.99,91.48,90.99,91.36,89.625,2298969
2024-05-28,91.38,91.5,90.685,91.01,89.2816,2111736
2024-05-29,90.15,90.38,89.64,89.71,88.0063,4072512
2024-05-30,89.53,90.49,89.53,90.44,88.7224,3299682
2024-05-31,90.53,91.545,89.885,91.53,89.7917,4101608
2024-06-03,91.51,91.55,90.21,90.99,89.262,5950110
2024-06-04,90.26,90.43,89.46,89.98,88.2712,3389462
2024-06-05,90.0,90.64,89.62,90.6,88.8794,3410361
2024-06-06,90.6,90.72,90.2,90.7,88.9775,2119415
2024-06-07,89.76,90.54,89.4,89.79,88.0848,4179472
2024-06-10,89.55,89.785,89.345,89.7,87.9965,2611773
2024-06-11,89.2,89.67,88.84,89.67,87.967,3228605
2024-06-12,90.75,91.02,89.61,89.84,88.1338,4087068
2024-06-13,89.34,89.92,89.005,89.81,88.1044,3968556
2024-06-14,89.29,89.44,88.42,88.98,87.2902,2847207
2024-06-17,88.66,89.79,88.445,89.64,87.9376,3815800
2024-06-18,89.66,89.99,89.125,89.54,87.8395,3436308
2024-06-20,89.49,90.07,89.42,89.63,87.9278,3220495
2024-06-21,89.39,89.81,88.97,89.64,87.9376,4104920
2024-06-24,89.59,90.16,89.34,89.79,88.5049,4032573
2024-06-25,89.62,89.64,88.36,88.65,87.3812,3646066
2024-06-26,88.21,88.67,87.95,88.59,87.322,3237286
2024-06-27,88.58,88.62,88.12,88.34,87.0756,8139791
2024-06-28,88.35,88.96,88.04,88.31,87.0461,3875304
2024-07-01,88.38,88.71,86.68,86.95,85.7055,4323694
2024-07-02,86.74,87.35,86.405,87.11,85.8632,6558753
2024-07-03,87.4,87.98,87.3214,87.76,86.5039,2295553
2024-07-05,87.71,88.005,87.22,87.9,86.6419,4423391
2024-07-08,88.16,88.469,87.845,88.16,86.8982,5248449
2024-07-09,87.77,87.95,87.24,87.26,86.0111,2975520
2024-07-10,87.7,88.48,87.56,88.43,87.1643,3957661
2024-07-11,88.87,89.77,88.81,89.64,88.357,5957001
2024-07-12,90.15,90.9278,89.91,90.5,89.2047,4897980
2024-07-15,90.51,90.88,90.06,90.27,88.978,3242685
2024-07-16,90.19,92.1,90.15,92.02,90.703,3733012
2024-07-17,91.97,92.38,91.79,91.83,90.5157,4395221
2024-07-18,91.29,92.29,90.805,90.92,89.6187,4455094
2024-07-19,90.49,90.69,89.84,90.11,88.8203,4682646
2024-07-22,90.34,90.52,89.66,90.41,89.116,3763091
2024-07-23,90.68,90.925,90.13,90.77,89.4708,3246725
2024-07-24,90.93,91.04,89.515,89.61,88.3274,4274498
2024-07-25,89.2,90.95,89.12,89.86,88.5739,5026213
2024-07-26,90.45,91.68,90.24,91.33,90.0228,3534882
2024-07-29,91.39,91.735,90.99,91.49,90.1805,3524841
2024-07-30,91.17,91.855,91.0,91.19,89.8848,4251101
2024-07-31,91.97,92.99,91.6703,92.14,90.8212,5233376
2024-08-01,92.55,93.39,91.19,91.77,90.4565,8567173
2024-08-02,90.74,90.95,88.85,90.04,88.7513,10472620
2024-08-05,88.42,88.75,87.28,88.03,86.7701,9741534
2024-08-06,87.91,89.61,87.76,88.48,87.2136,5906113
2024-08-07,89.23,89.6,87.22,87.28,86.0308,5548732
2024-08-08,87.73,88.82,87.67,88.63,87.3615,5379485
2024-08-09,88.68,88.845,87.745,88.56,87.2925,2861153
2024-08-12,88.66,88.78,87.965,88.17,86.9081,2780943
2024-08-13,88.48,89.24,88.27,89.05,87.7755,3118062
2024-08-14,89.27,89.315,88.595,89.05,87.7755,3620523
2024-08-15,89.9,90.645,89.71,90.46,89.1653,3864285
2024-08-16,90.3,90.625,89.895,90.57,89.2737,2901562
2024-08-19,90.58,91.08,90.58,91.0,89.6976,2293246
2024-08-20,91.05,91.285,90.58,90.67,89.3723,2417316
2024-08-21,90.97,91.79,90.93,91.71,90.3974,2305472
2024-08-22,91.71,91.87,91.2,91.52,90.2101,2842153
2024-08-23,91.9,92.96,91.835,92.73,91.4028,2899027
2024-08-26,93.14,93.83,92.99,93.14,91.8069,3831542
2024-08-27,93.07,93.17,92.545,93.15,91.8168,4422675
2024-08-28,92.84,93.245,92.41,92.75,91.4225,3262082
2024-08-29,93.08,93.835,92.49,93.26,91.9252,3025616
2024-08-30,93.52,94.415,93.065,94.28,92.9306,4323779
2024-09-03,92.91,93.36,91.85,92.14,90.8212,4751740
2024-09-04,92.37,92.76,91.655,91.76,90.4467,3156681
2024-09-05,91.95,92.06,90.83,91.04,89.737,3793542
2024-09-06,90.91,91.45,89.7101,89.89,88.6034,5308258
2024-09-09,90.41,91.231,90.41,90.76,89.461,3206246
2024-09-10,90.72,90.82,90.07,90.8,89.5004,3149862
2024-09-11,90.8,91.12,88.89,91.02,89.7173,3696445
2024-09-12,91.31,91.88,90.79,91.86,90.5452,2981355
2024-09-13,92.13,93.1865,92.06,92.69,91.3634,3229535
2024-09-16,93.1,93.72,92.83,93.55,92.2111,2919335
2024-09-17,93.59,94.42,93.5,93.73,92.3885,2940719
2024-09-18,93.93,94.43,93.1,93.33,91.9942,5577704
2024-09-19,94.88,95.12,94.22,94.74,93.384,4175917
2024-09-20,94.63,94.63,93.7,94.07,92.7236,4808668
2024-09-23,94.02,94.55,93.82,94.47,93.5339,2579869
