Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,82.6,82.97,82.53,82.84,81.9155,2602592
2024-05-23,83.0,83.15,81.541,81.9,80.986,3534127
2024-05-24,82.28,83.03,82.17,82.95,82.0243,2027996
2024-05-28,82.71,83.15,82.63,83.09,82.1627,2786224
2024-05-29,82.51,83.01,82.49,82.65,81.7276,2769017
2024-05-30,82.55,82.55,82.04,82.38,81.4607,2942203
2024-05-31,82.26,83.3,81.805,83.26,82.3308,3600112
2024-06-03,83.5,83.92,82.88,83.59,82.6572,5947645
2024-06-04,83.45,84.0,83.24,83.91,82.9736,2878997
2024-06-05,84.44,84.96,84.32,84.93,83.9822,4160624
2024-06-06,84.87,85.55,84.85,84.98,84.0316,3184456
2024-06-07,84.97,85.275,84.3239,84.4,83.4581,3463007
2024-06-10,84.33,84.7,84.005,84.61,83.6658,3442864
2024-06-11,84.46,84.84,84.2,84.77,83.824,5804279
2024-06-12,85.35,85.63,84.07,84.59,83.646,4248012
2024-06-13,84.15,84.22,83.7,83.86,82.9241,3595476
2024-06-14,83.47,84.16,83.47,84.13,83.1911,2402837
2024-06-17,83.81,84.7879,83.4049,84.53,83.5867,3420580
2024-06-18,84.39,84.68,83.81,84.03,83.0922,3004510
2024-06-20,84.02,84.445,83.87,84.39,83.4482,3650865
2024-06-21,84.74,85.085,84.45,84.94,83.9921,3757130
2024-06-24,85.0,85.52,84.815,85.0,84.2737,3724875
2024-06-25,84.99,85.99,84.89,85.95,85.2155,3225490
2024-06-26,85.48,86.06,85.4,85.96,85.2255,2746544
2024-06-27,86.09,86.5499,86.03,86.45,85.7113,2988590
2024-06-28,86.41,87.02,85.63,85.66,84.928,4025085
2024-07-01,85.79,85.93,84.895,85.3,84.5711,3213086
2024-07-02,85.09,86.06,85.04,86.06,85.3246,2934507
2024-07-03,85.94,86.255,85.88,86.09,85.3543,2081151
2024-07-05,86.07,87.85,86.07,87.76,87.0101,3344426
2024-07-08,87.8,87.82,86.84,86.97,86.2268,3043294
2024-07-09,87.39,87.5222,87.11,87.24,86.4945,2348649
2024-07-10,87.3,87.935,87.21,87.79,87.0398,5169648
2024-07-11,87.6,87.86,86.34,86.59,85.8501,3949169
2024-07-12,86.14,86.94,86.05,86.31,85.5725,3443521
2024-07-15,86.28,87.3,86.24,86.62,85.8798,3543007
2024-07-16,86.93,87.38,86.46,86.85,86.1079,3843167
2024-07-17,86.02,86.17,85.33,85.54,84.809,5221997
2024-07-18,86.22,86.29,85.29,85.49,84.7595,4524580
2024-07-19,85.78,85.97,85.03,85.11,84.3827,3402794
2024-07-22,85.49,85.69,84.97,85.47,84.7396,4204911
2024-07-23,85.34,85.8,84.945,85.35,84.6207,4242499
2024-07-24,83.94,84.1,83.05,83.12,82.4097,7701160
2024-07-25,83.32,83.79,82.14,82.16,81.4579,7788671
2024-07-26,83.28,84.005,82.94,83.7,82.9848,6660513
2024-07-29,84.1,84.84,83.86,84.44,83.7184,4184347
2024-07-30,84.59,85.05,84.075,84.78,84.0555,5373815
2024-07-31,85.56,86.19,85.36,85.79,85.0569,4545567
2024-08-01,87.56,87.92,85.56,86.14,85.4039,7523017
2024-08-02,85.36,85.95,84.26,84.74,84.0159,9145589
2024-08-05,81.46,83.48,81.15,82.31,81.6066,10799510
2024-08-06,82.49,84.26,82.41,83.28,82.5684,9076867
2024-08-07,84.17,84.79,82.75,82.84,82.1321,8590866
2024-08-08,83.21,84.56,83.13,84.49,83.768,7612025
2024-08-09,84.2,85.3,84.03,85.21,84.4819,4385855
2024-08-12,85.31,85.31,84.43,84.62,83.8969,3131901
2024-08-13,85.09,85.835,84.96,85.72,84.9875,4184103
2024-08-14,85.48,85.71,84.86,85.23,84.5017,4069042
2024-08-15,85.7,86.09,85.46,86.0,85.2651,3665425
2024-08-16,85.99,86.51,85.9,86.26,85.5229,3928976
2024-08-19,86.49,87.27,86.49,87.24,86.4945,2807400
2024-08-20,87.11,87.51,87.015,87.18,86.435,3355857
2024-08-21,87.24,87.71,87.03,87.55,86.8019,3298983
2024-08-22,87.89,88.0,86.63,86.89,86.1475,2984411
2024-08-23,87.43,87.85,86.86,87.5,86.7523,3008992
2024-08-26,87.65,87.95,87.35,87.7,86.9506,2976703
2024-08-27,87.46,88.02,87.33,87.5,86.7523,2554050
2024-08-28,87.46,87.57,86.49,86.92,86.1773,3182916
2024-08-29,87.42,87.81,86.54,86.74,85.9988,3240358
2024-08-30,87.16,87.39,86.44,87.32,86.5738,3072355
2024-09-03,86.96,87.23,85.315,85.72,84.9875,5599370
2024-09-04,85.47,86.5,85.245,85.31,84.581,5200228
2024-09-05,85.24,85.98,85.11,85.56,84.8289,3562809
2024-09-06,85.7,86.12,83.68,83.77,83.0542,4422335
2024-09-09,84.22,84.67,83.695,84.13,83.4111,4120416
2024-09-10,84.45,84.7,83.52,84.11,83.3913,3924180
2024-09-11,84.19,84.61,82.65,84.46,83.7383,5549319
2024-09-12,84.96,86.07,84.96,86.04,85.3048,4689125
2024-09-13,85.92,87.065,85.92,86.87,86.1277,3026504
2024-09-16,87.14,87.83,86.78,87.78,87.0299,3275304
2024-09-17,88.07,88.63,87.33,87.78,87.0299,4079435
2024-09-18,87.94,88.6,87.57,87.71,86.9605,5009717
2024-09-19,89.24,89.54,88.68,88.9,88.1403,4036425
2024-09-20,89.03,89.12,88.43,88.9,88.1403,5857706
2024-09-23,89.06,89.17,88.6,88.83,88.3382,3361382
2024-09-24,88.95,89.285,88.33,89.25,88.7559,2735846
2024-09-25,89.19,89.58,88.93,88.97,88.4775,2692190
2024-09-26,89.67,89.89,89.015,89.47,88.9747,2245715
2024-09-27,89.74,90.35,89.6524,90.01,89.5117,2532245
2024-09-30,90.0,90.495,89.645,90.4,89.8995,3269685
2024-10-01,90.72,90.98,89.62,90.47,89.9692,4859385
2024-10-02,90.14,90.45,89.98,90.19,89.6907,5005786
2024-10-03,89.69,90.09,89.41,89.88,89.3824,5052731
2024-10-04,90.44,90.975,89.9,90.88,90.3769,3345775
2024-10-07,90.85,90.95,89.52,89.66,89.1636,2473860
2024-10-08,89.97,90.545,89.72,90.45,89.9493,3753222
2024-10-09,90.43,90.55,89.68,90.48,89.9791,2390616
2024-10-10,90.12,90.5,89.78,89.81,89.3128,3136415
2024-10-11,90.03,90.66,89.87,90.43,89.9294,1861445
2024-10-14,90.67,91.135,90.54,90.85,90.347,3434049
2024-10-15,91.05,91.445,90.765,91.05,90.5459,3436527
2024-10-16,90.64,91.11,90.55,90.99,90.4863,3198673
2024-10-17,91.39,91.41,90.4,90.56,90.0587,2237560
2024-10-18,91.14,91.48,91.05,91.23,90.7249,2665486
2024-10-21,91.19,91.26,90.36,90.87,90.3669,2920760
2024-10-22,90.46,91.13,90.28,91.0,90.4962,3423291
2024-10-23,90.79,91.12,89.975,90.31,89.81,3015461
2024-10-24,90.56,90.705,90.06,90.62,90.1183,2044736
2024-10-25,91.15,91.805,90.76,90.85,90.347,2943683
2024-10-28,91.72,91.77,91.09,91.43,90.9238,2079745
2024-10-29,91.43,92.4,91.215,92.29,91.7791,3839579
2024-10-30,93.58,93.92,92.745,92.85,92.336,4872131
2024-10-31,92.89,93.42,92.01,92.04,91.5305,4840027
2024-11-01,92.38,92.985,92.21,92.4,91.8885,5714036
2024-11-04,92.66,92.69,91.63,92.09,91.5802,3003745
2024-11-05,92.46,93.21,92.38,93.11,92.5945,3090193
2024-11-06,94.49,95.5,94.35,95.4,94.8719,5477388
2024-11-07,95.83,96.845,95.77,96.65,96.1149,5268050
2024-11-08,96.63,96.63,95.88,96.18,95.6475,3219803
2024-11-11,96.2,96.7999,96.175,96.72,96.1846,2625242
2024-11-12,96.79,97.24,96.39,97.16,96.6221,3260646
2024-11-13,97.17,97.6,96.6,97.2,96.6619,2937114
2024-11-14,97.32,97.62,96.74,97.09,96.5525,3170347
2024-11-15,96.6,96.79,94.835,95.15,94.6232,3526386
2024-11-18,95.38,96.2999,95.22,96.09,95.558,3880730
2024-11-19,95.26,96.815,95.22,96.72,96.1846,3186699
2024-11-20,96.88,97.355,96.11,97.34,96.8011,3069624
2024-11-21,97.29,97.34,95.76,97.09,96.5525,3833972
2024-11-22,96.74,97.23,96.49,96.88,96.3437,3266126
2024-11-25,97.37,98.0,96.87,97.38,96.8409,4387560
2024-11-26,97.42,98.0399,97.42,97.74,97.1989,2513423
2024-11-27,97.95,98.155,97.555,97.87,97.3282,2413665
2024-11-29,97.84,98.5364,97.735,98.4,97.8553,1960531
2024-12-02,98.47,99.29,98.32,99.21,98.6608,4975888
2024-12-03,99.29,100.06,99.16,100.01,99.4563,3077350
2024-12-04,99.98,100.35,99.815,100.24,99.6851,2550177
2024-12-05,100.51,100.58,99.915,100.01,99.4563,2494116
2024-12-06,100.0,101.125,99.94,100.93,100.3712,4364795
2024-12-09,100.84,100.98,98.72,98.78,98.2331,5040350
2024-12-10,99.77,100.6088,99.57,100.33,99.7746,5125284
2024-12-11,100.56,102.14,100.56,101.97,101.4055,4015767
2024-12-12,102.15,102.67,101.9803,102.16,101.5944,2885470
2024-12-13,101.62,101.88,100.875,100.94,100.3812,3371526
2024-12-16,101.61,102.04,101.22,101.33,100.769,4222721
2024-12-17,101.18,101.67,100.485,100.57,100.0132,4707971
2024-12-18,100.54,101.0,97.63,97.7,97.1591,6406320
2024-12-19,98.86,99.02,97.39,97.43,96.8906,5026110
2024-12-20,96.73,99.045,96.7,97.96,97.4177,6285635
2024-12-23,97.93,98.33,97.14,98.24,97.9501,3768852
2024-12-24,98.36,99.17,98.0,99.17,98.8774,1626790
2024-12-26,98.77,99.185,98.51,99.04,98.7478,3512436
2024-12-27,98.51,98.63,97.27,98.16,97.8703,4100426
2024-12-30,97.02,97.68,96.3311,97.13,96.8434,3211108
2024-12-31,97.24,97.61,96.59,96.81,96.5243,3616309
2025-01-02,97.32,98.01,96.46,97.28,96.9929,6900625
2025-01-03,97.83,98.25,97.2,97.88,97.5912,5454728
2025-01-06,98.36,99.185,98.26,98.94,98.648,5325353
2025-01-07,98.89,99.29,97.46,97.84,97.5513,5058425
2025-01-08,97.37,97.6,96.58,97.26,96.973,4631568
2025-01-10,96.74,96.93,95.16,95.81,95.5273,4797594
2025-01-13,95.17,95.9,94.92,95.85,95.5672,6992466
2025-01-14,95.94,96.07,94.99,95.53,95.2481,4194732
2025-01-15,96.92,97.48,96.71,97.1,96.8135,4115715
2025-01-16,96.94,97.22,96.515,96.55,96.2651,2943855
2025-01-17,97.8,97.86,96.89,97.39,97.1026,3109150
2025-01-21,98.07,98.715,97.97,98.27,97.98,4817389
2025-01-22,99.5,99.81,99.1,99.25,98.9571,5382656
2025-01-23,98.63,99.51,98.445,99.51,99.2164,3721261
2025-01-24,99.69,100.45,99.61,100.41,100.1137,3386856
2025-01-27,98.98,101.24,98.79,100.93,100.6322,9407480
2025-01-28,101.01,101.7873,100.63,101.42,101.1207,5445376
2025-01-29,102.05,102.27,101.59,101.87,101.5694,4797466
2025-01-30,102.39,103.13,101.26,101.97,101.6691,5113075
2025-01-31,102.72,103.505,102.13,102.38,102.0779,9102106
2025-02-03,101.12,103.065,101.11,102.6,102.2972,7196669
2025-02-04,103.07,103.681,102.77,103.52,103.2145,5543642
2025-02-05,102.27,102.54,101.555,102.52,102.2175,6058907
2025-02-06,102.61,103.01,102.26,102.96,102.6562,2892008
2025-02-07,103.5,103.84,102.6,102.74,102.4368,3142854
2025-02-10,103.62,103.63,102.8,103.2,102.8955,3042190
2025-02-11,102.66,103.5,102.59,103.37,103.065,2564607
2025-02-12,102.64,103.73,102.46,103.48,103.1746,5391894
2025-02-13,103.47,104.73,103.34,104.67,104.3611,2833786
2025-02-14,104.68,105.58,104.59,105.31,104.9992,3425228
2025-02-18,105.26,105.33,104.112,104.82,104.5107,3447908
