Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,93.5,93.54,91.71,92.08,89.1486,17433980
2024-05-23,92.54,92.86,91.08,91.24,88.3353,13465690
2024-05-24,91.95,92.1898,91.11,91.37,88.4612,9520699
2024-05-28,91.69,92.55,91.455,92.31,89.3713,14452060
2024-05-29,92.05,92.13,90.27,90.68,87.7932,15026780
2024-05-30,90.48,91.27,90.45,90.94,88.0449,11366390
2024-05-31,91.1,93.2661,91.0096,93.2,90.2329,16251510
2024-06-03,92.89,92.92,90.09,90.76,87.8706,20398289
2024-06-04,89.82,89.97,88.7,89.89,87.0283,17360711
2024-06-05,90.0,90.14,89.33,89.88,87.0186,10520080
2024-06-06,89.57,90.38,89.2266,90.35,87.4737,12753250
2024-06-07,90.18,91.035,89.55,89.99,87.1251,10044890
2024-06-10,90.33,91.21,89.99,90.67,87.7835,11274190
2024-06-11,90.27,90.59,89.44,90.49,87.6092,9295563
2024-06-12,91.24,91.27,89.0711,89.52,86.6701,16280290
2024-06-13,89.28,89.53,88.245,88.7,85.8762,14247820
2024-06-14,88.6,88.7,87.67,88.04,85.2372,12905670
2024-06-17,87.92,88.665,87.6,88.27,85.4599,14773860
2024-06-18,88.84,89.76,88.418,88.64,85.8181,14642890
2024-06-20,88.9,90.73,88.62,90.27,87.3962,17036930
2024-06-21,90.51,90.76,89.62,89.75,86.8928,19993180
2024-06-24,89.53,91.625,89.38,91.28,89.0836,15594110
2024-06-25,91.2,91.5,90.7,91.49,89.2885,13835130
2024-06-26,91.59,91.59,90.155,90.59,88.4102,11563700
2024-06-27,91.07,91.17,90.29,90.8,88.6151,7815787
2024-06-28,91.5,91.82,90.82,91.15,88.9567,12835020
2024-07-01,91.88,92.18,90.66,91.2,89.0055,12281640
2024-07-02,92.08,92.1,90.55,91.13,88.9372,12613390
2024-07-03,91.21,91.95,91.05,91.53,89.3276,8140047
2024-07-05,91.35,91.42,89.7,90.1,87.932,11725250
2024-07-08,89.45,90.38,89.195,89.55,87.3952,9797506
2024-07-09,88.66,89.74,88.4,88.76,86.6242,9545597
2024-07-10,88.66,89.39,88.39,89.36,87.2098,9660378
2024-07-11,89.13,90.475,88.82,90.29,88.1174,11344840
2024-07-12,90.8,90.93,89.85,90.52,88.3419,9058620
2024-07-15,91.16,92.72,90.81,91.89,89.6789,15395970
2024-07-16,91.5,92.3871,91.03,92.3,90.079,12064670
2024-07-17,92.51,93.82,92.49,93.22,90.9769,14717680
2024-07-18,93.12,94.51,92.79,93.39,91.1428,16433830
2024-07-19,93.24,93.88,92.13,92.37,90.1474,13250140
2024-07-22,91.88,92.32,91.265,91.79,89.5813,10763760
2024-07-23,91.53,91.61,90.215,90.33,88.1564,16551900
2024-07-24,90.57,91.15,89.715,90.34,88.1662,14664250
2024-07-25,90.4,92.19,89.97,91.9,89.6887,18218699
2024-07-26,91.66,92.575,91.3314,92.19,89.9717,11865390
2024-07-29,92.2,92.27,90.535,91.4,89.2007,13578260
2024-07-30,91.39,93.11,91.2817,92.82,90.5865,12836600
2024-07-31,94.08,94.14,93.14,93.21,90.9671,18086881
2024-08-01,93.0,93.47,90.27,90.74,88.5566,21279250
2024-08-02,89.7,90.19,87.51,88.4,86.2729,22918100
2024-08-05,86.5,87.18,85.47,86.45,84.3698,25019551
2024-08-06,86.77,87.96,86.43,86.98,84.8871,15709300
2024-08-07,88.04,88.94,87.28,87.33,85.2286,13062970
2024-08-08,87.58,89.33,87.58,89.21,87.0634,10798420
2024-08-09,89.08,89.79,88.51,89.41,87.2586,11172790
2024-08-12,89.93,90.425,87.5,89.85,87.688,14392940
2024-08-13,89.17,89.25,88.54,88.98,86.8389,15693200
2024-08-14,89.15,89.895,88.8,89.5,87.3464,10828800
2024-08-15,90.01,90.86,89.93,90.57,88.3907,9167605
2024-08-16,90.01,90.69,89.94,90.47,88.2931,8876521
2024-08-19,90.62,91.85,90.62,91.08,88.8884,10881340
2024-08-20,90.88,90.96,88.64,88.68,86.5461,16933240
2024-08-21,89.24,89.685,88.575,88.83,86.6925,11368870
2024-08-22,88.89,89.46,88.71,89.06,86.917,9797718
2024-08-23,89.48,90.54,89.37,90.39,88.215,10367310
2024-08-26,91.39,91.995,90.53,91.2,89.0055,9757380
2024-08-27,91.2,91.45,90.19,90.35,88.176,8313563
2024-08-28,89.8,90.325,89.3737,89.77,87.6099,8524501
2024-08-29,90.3,91.28,89.45,90.94,88.7518,11249530
2024-08-30,90.02,91.31,89.81,91.28,89.0836,14042630
2024-09-03,89.79,89.9269,88.445,89.01,86.8682,19095900
2024-09-04,89.1,89.67,87.605,87.78,85.6678,15056990
2024-09-05,88.41,88.48,87.02,87.1,85.0042,12495650
2024-09-06,87.29,87.82,85.66,86.01,83.9404,17956010
2024-09-09,86.27,87.43,86.14,86.63,84.5455,16412160
2024-09-10,86.76,86.87,84.41,85.14,83.0913,24663410
2024-09-11,85.13,85.17,83.02,84.35,82.3203,24062859
2024-09-12,84.68,85.435,84.05,85.11,83.062,15884610
2024-09-13,85.54,86.23,85.34,85.59,83.5305,13097730
2024-09-16,86.31,87.11,85.92,86.57,84.4869,13437720
2024-09-17,86.6,87.8,86.41,87.74,85.6288,12517340
2024-09-18,87.61,88.99,87.49,87.91,85.7947,14104790
2024-09-19,89.4,89.955,88.47,88.96,86.8194,18903359
2024-09-20,88.59,88.97,87.775,88.76,86.6242,13980800
2024-09-23,88.2,89.555,87.895,89.12,87.6943,13315050
2024-09-24,90.14,90.14,88.7748,88.9,87.4778,17313650
2024-09-25,88.67,88.94,86.98,87.16,85.7657,13816780
2024-09-26,85.43,86.575,85.17,85.45,84.083,23448160
