Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,42.09,42.27,41.85,41.94,41.2969,38661152
2024-05-23,41.9,41.94,41.2,41.36,40.7258,51768512
2024-05-24,41.44,41.62,41.44,41.61,40.9719,23477279
2024-05-28,41.52,41.52,41.0,41.15,40.519,31004939
2024-05-29,40.82,40.95,40.695,40.82,40.1941,40620238
2024-05-30,40.86,41.1299,40.76,41.04,40.4107,32772641
2024-05-31,41.12,41.68,41.0,41.64,41.0015,38664008
2024-06-03,41.63,41.675,41.015,41.38,40.7455,37855008
2024-06-04,41.16,41.5,41.0,41.19,40.5584,27586391
2024-06-05,41.32,41.36,41.01,41.31,40.6765,23817260
2024-06-06,41.38,41.5,41.13,41.29,40.6568,39040168
2024-06-07,41.3,41.71,41.22,41.48,40.8439,42273246
2024-06-10,41.3,41.37,41.05,41.32,40.6864,31618980
2024-06-11,41.12,41.14,40.65,40.85,40.2236,54584941
2024-06-12,41.27,41.32,40.75,40.81,40.1842,46399793
2024-06-13,40.81,40.82,40.5,40.78,40.1547,39497922
2024-06-14,40.5,40.73,40.37,40.65,40.0267,29083010
2024-06-17,40.55,41.02,40.48,41.01,40.3811,36076887
2024-06-18,40.96,41.27,40.925,41.27,40.6372,38900281
2024-06-20,41.18,41.595,41.135,41.49,40.8538,42869059
2024-06-21,41.39,41.43,41.09,41.33,40.6962,42532781
2024-06-24,41.34,41.845,41.235,41.59,41.1144,45251992
2024-06-25,41.51,41.64,41.16,41.28,40.8079,32852879
2024-06-26,41.09,41.11,40.82,41.02,40.5509,37978480
2024-06-27,40.9,41.02,40.72,40.97,40.5015,25466061
2024-06-28,41.06,41.37,40.935,41.11,40.6399,44045129
2024-07-01,41.28,41.55,41.03,41.2,40.7289,36131129
2024-07-02,41.12,41.68,41.1,41.68,41.2034,27033070
2024-07-03,41.72,41.755,41.53,41.55,41.0749,21113250
2024-07-05,41.64,41.64,41.3,41.54,41.065,21421109
2024-07-08,41.6,41.85,41.3801,41.43,40.9562,27779270
2024-07-09,41.47,42.02,41.42,41.75,41.2726,33143078
2024-07-10,41.55,41.92,41.53,41.91,41.4307,28445381
2024-07-11,41.95,42.31,41.815,42.24,41.757,45836633
2024-07-12,42.19,42.56,42.08,42.38,41.8954,39041230
2024-07-15,42.53,43.04,42.5,43.0,42.5083,46561168
2024-07-16,43.03,43.51,42.95,43.49,42.9927,52243090
2024-07-17,43.44,43.9,43.37,43.82,43.3189,54773289
2024-07-18,43.67,44.105,43.19,43.29,42.795,58731301
2024-07-19,43.27,43.36,42.8001,42.85,42.36,47219953
2024-07-22,42.95,43.17,42.75,43.09,42.5972,29071070
2024-07-23,43.2,43.39,43.1,43.17,42.6763,23800350
2024-07-24,43.04,43.125,42.58,42.58,42.0931,47786910
2024-07-25,42.66,43.365,42.65,42.74,42.2512,44861992
2024-07-26,42.97,43.54,42.95,43.41,42.9136,32636270
2024-07-29,43.51,43.535,43.13,43.35,42.8543,35195680
2024-07-30,43.62,44.0,43.6,43.85,43.3486,31418660
2024-07-31,43.95,44.1099,43.71,43.74,43.2398,38694793
2024-08-01,43.9,43.96,42.93,43.12,42.6269,47060859
2024-08-02,42.63,42.78,41.8,42.06,41.579,78599852
2024-08-05,41.14,41.23,40.66,40.84,40.373,107719000
2024-08-06,41.02,41.985,40.91,41.5,41.0254,57668898
2024-08-07,41.96,42.355,41.49,41.55,41.0749,43912566
2024-08-08,41.82,42.27,41.76,42.22,41.7372,41260500
2024-08-09,42.21,42.505,42.04,42.4,41.9151,23838801
2024-08-12,42.48,42.59,42.09,42.18,41.6976,20509279
2024-08-13,42.43,42.56,42.12,42.53,42.0436,24922010
2024-08-14,42.63,43.13,42.6,43.05,42.5577,30673010
2024-08-15,43.46,43.69,43.31,43.45,42.9531,33329020
2024-08-16,43.4,43.77,43.4,43.77,43.2695,25338910
2024-08-19,43.78,44.02,43.78,44.01,43.5067,24458570
2024-08-20,43.96,43.995,43.78,43.87,43.3683,19620439
2024-08-21,43.94,43.99,43.57,43.8,43.2991,19914061
2024-08-22,43.85,44.05,43.81,44.05,43.5463,24404039
2024-08-23,44.18,44.54,44.09,44.43,43.9219,32762500
2024-08-26,44.58,44.81,44.47,44.57,44.0603,23716330
2024-08-27,44.66,44.82,44.58,44.8,44.2877,21583449
2024-08-28,44.68,45.155,44.64,44.91,44.3964,24726170
2024-08-29,45.06,45.46,44.75,45.31,44.7919,33726633
2024-08-30,45.44,45.78,45.23,45.74,45.2169,28967721
2024-09-03,45.5,45.875,45.185,45.4,44.8808,39874800
2024-09-04,45.48,45.77,45.215,45.45,44.9303,32006131
2024-09-05,45.64,45.66,44.745,44.95,44.436,39523539
2024-09-06,44.95,45.2,44.19,44.29,43.7835,51331289
2024-09-09,44.71,45.2,44.65,44.95,44.436,41010887
2024-09-10,45.1,45.14,43.975,44.49,43.9812,59114980
2024-09-11,44.32,44.35,43.38,44.28,43.7736,59397480
2024-09-12,44.36,44.52,44.0,44.38,43.8725,37739379
2024-09-13,44.51,44.6859,44.41,44.51,44.001,32912281
2024-09-16,44.7,45.1,44.7,45.09,44.5744,37063922
2024-09-17,45.19,45.4799,45.14,45.33,44.8116,27893289
2024-09-18,45.35,45.69,45.09,45.19,44.6732,41783871
2024-09-19,45.65,45.81,45.34,45.69,45.1675,46457688
2024-09-20,45.59,45.66,45.335,45.66,45.1379,48699180
2024-09-23,45.49,45.67,45.36,45.44,45.0833,31615260
2024-09-24,45.3,45.3,44.895,45.06,44.7063,40341434
2024-09-25,45.08,45.14,44.65,44.79,44.4384,32546930
2024-09-26,44.92,45.11,44.77,45.02,44.6666,31445230
2024-09-27,45.12,45.437,45.05,45.15,44.7956,23226119
2024-09-30,45.04,45.34,44.84,45.32,44.9642,23599211
2024-10-01,45.2,45.31,44.775,45.08,44.7261,32703010
2024-10-02,45.06,45.23,44.83,45.13,44.7757,37709434
2024-10-03,44.96,45.05,44.665,44.89,44.5376,23545680
2024-10-04,45.33,45.69,45.15,45.65,45.2916,40435848
2024-10-07,45.65,45.67,44.9,45.09,44.736,26599260
2024-10-08,45.26,45.46,45.18,45.35,44.994,28762949
2024-10-09,45.35,45.86,45.26,45.77,45.4107,28334270
