Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,124.97,125.63,124.63,125.31,123.4742,7910476
2024-05-23,125.61,125.68,123.595,123.83,122.0159,9078387
2024-05-24,124.3,124.73,123.785,124.46,122.6366,7556872
2024-05-28,124.41,124.41,122.525,122.94,121.1389,8525837
2024-05-29,121.9,121.99,121.1,121.2,119.4244,16725410
2024-05-30,121.36,122.115,121.33,122.03,120.2422,7816700
2024-05-31,122.32,123.56,121.3303,123.51,121.7006,9703498
2024-06-03,123.91,123.96,120.87,122.0,120.2127,15241010
2024-06-04,121.75,122.23,121.01,121.7,119.9171,10061460
2024-06-05,122.16,122.945,121.44,122.93,121.129,8666035
2024-06-06,122.79,123.09,121.715,122.2,120.4097,6523878
2024-06-07,121.89,123.14,121.58,122.33,120.5378,7036253
2024-06-10,122.15,122.88,122.09,122.71,120.9123,6642646
2024-06-11,122.05,122.17,121.2,122.01,120.2225,11216990
2024-06-12,123.14,123.885,122.63,123.17,121.3655,11106940
2024-06-13,123.0,123.07,121.34,122.38,120.5871,8056073
2024-06-14,121.33,121.33,119.66,121.15,119.3751,15315750
2024-06-17,120.73,122.685,120.54,122.49,120.6955,12522100
2024-06-18,122.46,123.16,122.225,123.15,121.3458,8176569
2024-06-20,123.01,123.56,122.735,123.23,121.4247,6350738
2024-06-21,123.21,123.28,121.92,122.97,121.1685,8231075
2024-06-24,122.88,124.205,122.61,123.07,121.6839,8650688
2024-06-25,122.97,122.97,121.445,122.02,120.6457,11365650
2024-06-26,121.86,121.88,121.21,121.69,120.3194,7350500
2024-06-27,121.81,122.045,121.38,121.82,120.4479,4804094
2024-06-28,122.16,122.96,121.28,121.87,120.4974,9796383
2024-07-01,122.44,122.69,120.29,120.56,119.2021,10008560
2024-07-02,120.38,121.26,120.29,121.22,119.8547,6789098
2024-07-03,121.36,122.1,121.15,121.66,120.2897,5467693
2024-07-05,121.63,121.63,120.245,121.22,119.8547,6367106
2024-07-08,121.56,122.21,121.0,121.37,120.003,7405651
2024-07-09,121.43,121.615,120.805,120.84,119.479,4617857
2024-07-10,121.01,121.955,120.76,121.92,120.5468,6930874
2024-07-11,122.24,123.91,122.06,123.47,122.0793,11119820
2024-07-12,124.18,124.905,123.869,124.18,122.7813,10565180
2024-07-15,124.55,125.66,124.28,125.07,123.6613,9680754
2024-07-16,125.44,128.31,125.425,128.19,126.7462,15501440
2024-07-17,127.63,127.9,126.52,126.55,125.1247,14511180
2024-07-18,126.54,127.81,125.38,125.56,124.1458,9267893
2024-07-19,125.84,126.1,124.59,124.87,123.4636,9955265
2024-07-22,125.46,126.23,124.48,126.14,124.7193,8335023
2024-07-23,125.51,126.59,125.44,125.9,124.482,9433055
2024-07-24,125.28,125.53,123.065,123.19,121.8025,11370790
2024-07-25,123.35,126.1,123.03,124.18,122.7813,14738960
2024-07-26,125.6,127.185,125.39,126.3,124.8775,10620820
2024-07-29,126.7,126.7,125.68,126.08,124.6599,8946624
2024-07-30,126.62,127.34,125.935,126.45,125.0258,7811181
2024-07-31,127.92,129.075,127.29,127.86,126.4199,10947570
2024-08-01,127.54,128.56,124.725,125.49,124.0766,17283230
2024-08-02,124.13,124.35,121.57,122.73,121.3477,16916330
2024-08-05,120.38,121.84,119.165,120.6,119.2417,20011990
2024-08-06,121.31,123.78,120.78,122.05,120.6753,13732560
2024-08-07,123.2,124.23,121.39,121.46,120.092,8307803
2024-08-08,122.36,124.35,122.34,124.26,122.8604,7976768
2024-08-09,124.1,124.53,123.0,124.28,122.8802,5891407
2024-08-12,124.29,124.48,123.245,123.65,122.2573,5733417
2024-08-13,124.23,125.05,123.34,124.95,123.5427,7808313
2024-08-14,124.91,125.68,124.835,125.46,124.0469,5506399
2024-08-15,126.65,127.51,126.3,127.15,125.7179,5717499
2024-08-16,126.99,127.33,126.4099,126.97,125.5399,5448648
2024-08-19,127.08,127.78,126.94,127.74,126.3013,3483000
2024-08-20,127.68,127.85,127.005,127.39,125.9552,6443293
2024-08-21,127.69,128.38,127.54,128.16,126.7165,4989374
2024-08-22,128.38,128.67,127.595,128.0,126.5583,6355618
2024-08-23,128.44,129.58,128.19,129.28,127.8239,5887991
2024-08-26,129.56,130.0,128.87,129.14,127.6855,6226603
2024-08-27,128.95,129.285,128.51,129.22,127.7646,4000997
2024-08-28,129.28,129.9501,128.51,129.16,127.7053,4336432
2024-08-29,129.76,131.2,129.1,130.07,128.605,8226169
2024-08-30,130.53,131.59,129.59,131.46,129.9794,8348075
2024-09-03,130.81,131.02,128.055,128.55,127.1021,9332520
2024-09-04,128.47,129.46,128.19,128.68,127.2307,7809778
2024-09-05,128.41,128.56,126.465,127.18,125.7476,8044545
2024-09-06,127.34,128.27,125.64,125.89,124.4721,9567351
2024-09-09,126.96,128.33,126.92,127.82,126.3804,7283338
2024-09-10,128.32,128.32,126.965,128.04,126.5979,6270232
2024-09-11,127.73,128.43,125.11,128.27,126.8253,7969929
2024-09-12,128.3,129.27,127.59,129.26,127.8041,7012604
2024-09-13,129.82,131.06,129.56,130.57,129.0994,7913827
2024-09-16,131.14,132.03,130.45,131.24,129.7618,6400819
2024-09-17,131.5,132.4275,131.215,131.96,130.4737,7820720
2024-09-18,132.17,133.67,131.65,131.85,130.365,9191596
2024-09-19,134.01,134.37,132.97,134.12,132.6094,8957842
2024-09-20,133.08,133.455,132.44,133.18,131.68,10907550
2024-09-23,133.26,133.855,132.76,133.64,132.5638,8284047
2024-09-24,134.01,134.64,133.7,134.6,133.5161,7507910
2024-09-25,135.01,135.15,133.87,133.97,132.8912,4422410
2024-09-26,135.06,135.47,134.465,134.64,133.5558,6620703
2024-09-27,135.05,135.7,134.62,134.83,133.7442,5859384
2024-09-30,134.83,135.565,134.04,135.44,134.3493,5321281
2024-10-01,135.37,136.155,134.29,135.51,134.4188,9398639
2024-10-02,135.26,135.78,134.69,135.26,134.1708,5189889
2024-10-03,134.87,135.26,134.07,134.57,133.4863,6361414
2024-10-04,135.63,135.92,134.27,135.51,134.4188,5797673
2024-10-07,134.84,135.735,134.51,135.18,134.0914,5737838
2024-10-08,135.7,135.9,134.96,135.48,134.389,4980573
2024-10-09,135.49,136.78,135.3,136.69,135.5893,5064881
2024-10-10,136.15,136.365,135.53,135.99,134.8949,5495633
2024-10-11,136.49,138.47,136.49,138.42,137.3053,8764835
2024-10-14,138.39,139.32,137.85,139.25,138.1286,6817631
2024-10-15,139.4,139.77,138.06,138.18,137.0673,7808900
2024-10-16,138.4,139.55,138.335,139.25,138.1286,8207845
2024-10-17,139.27,139.47,138.6,138.85,137.7319,5065108
2024-10-18,139.21,139.33,138.43,139.27,138.1485,4782065
2024-10-21,139.25,139.45,138.22,138.78,137.6624,5216679
2024-10-22,138.17,138.275,136.39,137.1,135.996,8579700
2024-10-23,136.96,137.545,136.0,136.7,135.5992,8480719
2024-10-24,136.49,136.49,135.37,135.76,134.6668,6720484
2024-10-25,136.38,136.75,135.12,135.4,134.3097,6399716
2024-10-28,136.08,136.4,135.76,135.8,134.7064,7132173
2024-10-29,135.39,136.145,134.59,135.62,134.5279,11192610
2024-10-30,135.02,136.12,134.79,135.39,134.2997,10469060
2024-10-31,134.32,134.67,133.41,133.83,132.7523,16640119
2024-11-01,134.51,135.24,133.975,134.01,132.9308,7482335
2024-11-04,134.15,134.875,133.49,133.86,132.7821,6744634
2024-11-05,134.33,136.13,133.99,136.1,135.004,7469389
2024-11-06,140.67,141.68,139.17,141.43,140.2911,17738789
2024-11-07,141.83,141.89,140.39,140.58,139.4479,10062800
2024-11-08,140.99,142.525,140.72,142.09,140.9458,8270291
2024-11-11,142.89,143.715,142.86,143.19,142.0369,8236970
2024-11-12,143.53,143.67,141.38,141.96,140.8168,7161103
2024-11-13,142.11,143.06,142.07,142.26,141.1144,6033427
2024-11-14,142.12,142.31,139.705,139.86,138.7337,9977368
2024-11-15,139.37,140.21,138.75,139.11,137.9898,6628806
2024-11-18,139.09,139.49,138.58,138.92,137.8013,6414204
2024-11-19,138.06,139.16,137.82,138.8,137.6823,5555054
2024-11-20,139.13,139.28,137.9312,138.95,137.8311,6527692
2024-11-21,139.62,141.18,139.08,140.69,139.5571,9677406
2024-11-22,141.06,142.69,140.93,142.65,141.5013,7924330
2024-11-25,143.38,143.93,142.915,143.54,142.3841,7411720
2024-11-26,143.37,143.965,142.83,143.71,142.5527,6524874
