Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,215.27,215.925,213.87,215.14,213.6524,5891457
2024-05-23,217.6,217.62,212.71,213.39,211.9145,4700216
2024-05-24,213.93,215.65,213.22,215.19,213.702,2953206
2024-05-28,216.41,216.58,214.745,216.1,214.6057,4393214
2024-05-29,213.82,215.76,213.82,214.73,213.2452,4284538
2024-05-30,212.34,212.66,209.18,209.83,208.3791,5229852
2024-05-31,210.45,210.49,205.53,210.16,208.7068,6040506
2024-06-03,211.77,211.96,208.17,210.69,209.2331,4814031
2024-06-04,210.58,211.465,209.5,211.13,209.6701,3202665
2024-06-05,212.8,215.82,212.46,215.82,214.3276,4394432
2024-06-06,215.94,216.0863,214.53,215.1,213.6126,3528836
2024-06-07,215.33,216.52,214.54,215.6,214.1092,3199312
2024-06-10,214.87,216.73,214.73,216.15,214.6554,3367696
2024-06-11,215.6,220.23,215.5,220.17,218.6476,6359602
2024-06-12,222.355,227.31,221.95,225.04,223.4839,8910628
2024-06-13,227.13,227.76,225.44,226.82,225.2516,6346797
2024-06-14,226.5,227.8,226.35,227.67,226.0957,3932277
2024-06-17,228.23,231.925,227.45,231.12,229.5219,5801349
2024-06-18,231.35,232.17,230.49,231.41,229.8098,4338861
2024-06-20,232.45,232.59,228.04,228.81,227.2278,6621463
2024-06-21,228.86,229.755,227.37,228.41,226.8306,6780393
2024-06-24,225.64,226.66,222.36,222.42,221.2695,6874280
2024-06-25,224.05,226.62,222.79,226.5,225.3284,4564541
2024-06-26,226.16,227.31,224.48,226.24,225.0697,4729798
2024-06-27,225.8,227.47,225.53,226.35,225.1792,3961767
2024-06-28,227.14,230.39,225.92,226.23,225.0598,6244102
2024-07-01,226.57,228.32,223.28,227.94,226.761,4640834
2024-07-02,225.96,229.1,225.96,229.08,227.8951,3538260
2024-07-03,228.75,232.28,228.56,232.17,230.9691,3124564
2024-07-05,232.43,233.91,231.47,232.88,231.6754,3335919
2024-07-08,233.63,235.15,233.23,234.47,233.2572,3835519
2024-07-09,235.665,236.23,232.94,234.28,233.0682,4342332
2024-07-10,235.89,237.845,234.57,237.68,236.4506,4374692
2024-07-11,238.04,238.14,231.055,231.73,230.5314,7055193
2024-07-12,232.37,236.28,231.56,233.8,232.5906,4883776
2024-07-15,234.99,236.53,232.89,234.22,233.0085,4313995
2024-07-16,234.77,234.8878,231.77,233.44,232.2325,3826107
2024-07-17,228.1,228.33,224.25,224.36,223.1995,6220241
2024-07-18,226.82,226.86,221.55,224.38,223.2194,5418587
2024-07-19,223.19,224.56,220.38,220.87,219.7275,4236413
2024-07-22,223.79,226.36,222.84,226.1,224.9305,5300750
2024-07-23,225.16,227.23,224.9,225.2,224.0351,2765373
