Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,77.6,78.08,77.46,77.82,75.8483,9395169
2024-05-23,77.58,77.71,76.86,76.9,74.9516,10751320
2024-05-24,77.17,77.4,77.06,77.1,75.1465,6943370
2024-05-28,76.85,77.055,76.22,76.5,74.5617,8840718
2024-05-29,76.09,76.365,75.92,75.95,74.0256,10402410
2024-05-30,76.17,76.36,75.975,76.15,74.2206,7404435
2024-05-31,76.08,77.38,75.73,77.34,75.3804,11874120
2024-06-03,77.09,77.675,76.865,77.31,75.3512,12223420
2024-06-04,77.32,78.105,77.185,77.98,76.0042,9097458
2024-06-05,77.88,77.99,77.195,77.81,75.8385,9095130
2024-06-06,77.76,78.335,77.6,78.05,76.0724,9759491
2024-06-07,78.03,78.245,77.58,77.66,75.6923,7490555
2024-06-10,77.78,77.8,77.1,77.6,75.6338,10033880
2024-06-11,77.49,77.56,76.92,77.56,75.5949,8583758
2024-06-12,77.71,77.75,76.52,76.71,74.7664,14172780
2024-06-13,76.68,76.875,76.355,76.81,74.8639,8723482
2024-06-14,76.59,76.95,76.39,76.95,75.0003,7246417
2024-06-17,76.66,77.82,76.495,77.68,75.7118,8762080
2024-06-18,77.56,77.88,77.45,77.78,75.8093,6567100
2024-06-20,77.64,78.01,77.405,77.61,75.6436,9316388
2024-06-21,77.77,78.17,77.605,77.67,75.7021,11595430
2024-06-24,77.27,78.01,77.1098,77.91,76.5093,9722583
2024-06-25,77.62,77.73,77.105,77.41,76.0183,10705820
2024-06-26,76.87,77.44,76.71,77.25,75.8612,8405221
2024-06-27,77.23,77.295,76.6026,76.92,75.5371,4592368
2024-06-28,76.91,77.0,76.375,76.58,75.2032,8396860
2024-07-01,76.98,77.265,75.98,76.04,74.6729,9275425
2024-07-02,76.13,76.58,75.89,76.57,75.1934,8233614
2024-07-03,76.44,76.71,76.235,76.44,75.0657,5600604
2024-07-05,76.44,77.43,76.325,77.38,75.9888,7202896
2024-07-08,77.44,77.53,77.05,77.26,75.871,4486755
2024-07-09,77.26,77.43,77.03,77.06,75.6746,5635819
2024-07-10,77.2,77.43,77.005,77.4,76.0085,7249075
2024-07-11,77.29,77.43,76.89,77.11,75.7237,11414670
2024-07-12,77.52,77.86,77.185,77.45,76.0576,10028190
2024-07-15,77.4,77.595,76.94,77.0,75.6156,8481303
2024-07-16,77.03,77.75,76.915,77.74,76.3423,7987333
