Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,38.43,38.555,38.04,38.16,36.8783,7027132
2024-05-23,38.17,38.17,37.325,37.35,36.0955,5597263
2024-05-24,37.58,37.61,37.3,37.35,36.0955,4686081
2024-05-28,37.59,37.685,37.08,37.13,35.8829,4696055
2024-05-29,36.8,36.85,36.62,36.78,35.5446,6076462
2024-05-30,37.04,37.32,36.975,37.31,36.0568,5868086
2024-05-31,37.54,38.06,37.355,38.05,36.772,7949848
2024-06-03,38.12,38.2,37.6989,37.9,36.627,5826279
2024-06-04,37.83,38.4102,37.79,38.26,36.9749,5647471
2024-06-05,38.29,38.29,37.99,38.21,36.9266,4541421
2024-06-06,38.07,38.305,37.88,38.27,36.9846,3888552
2024-06-07,37.76,38.07,37.6402,37.97,36.6947,5140406
2024-06-10,37.85,38.3,37.65,38.16,36.8783,4148835
2024-06-11,38.03,38.24,37.905,38.04,36.7623,3492403
2024-06-12,38.87,39.025,38.28,38.31,37.0233,7600789
2024-06-13,38.45,38.63,38.21,38.5,37.2069,3704267
2024-06-14,38.36,38.645,38.2099,38.53,37.2359,4975416
2024-06-17,38.32,38.53,38.09,38.33,37.0426,4880866
2024-06-18,38.43,38.63,38.36,38.48,37.1875,4893394
2024-06-20,38.36,38.49,38.24,38.38,37.0909,4503348
2024-06-21,38.43,38.53,38.17,38.48,37.1875,5334590
2024-06-24,38.12,38.76,38.02,38.35,37.4385,5891841
2024-06-25,38.32,38.32,37.65,37.81,36.9114,4490735
2024-06-26,37.62,37.88,37.53,37.76,36.8626,3639346
2024-06-27,37.87,38.16,37.74,38.1,37.1945,3571702
2024-06-28,38.32,38.57,38.1,38.41,37.4971,5569784
2024-07-01,38.32,38.44,37.81,38.04,37.1359,5700117
2024-07-02,38.04,38.285,37.9789,38.2,37.2921,3985488
2024-07-03,38.29,38.44,38.13,38.16,37.2531,2359111
2024-07-05,38.27,38.34,38.02,38.3,37.3897,3785785
2024-07-08,38.31,38.4558,38.215,38.39,37.4776,4443243
2024-07-09,38.33,38.525,38.01,38.4,37.4874,3679208
2024-07-10,38.58,38.685,38.27,38.67,37.7509,3935596
2024-07-11,39.26,39.89,39.22,39.7,38.7565,8693371
2024-07-12,39.96,40.2499,39.8486,39.99,39.0396,5322162
2024-07-15,40.05,40.2259,39.8401,40.16,39.2055,4828361
2024-07-16,40.42,40.58,40.13,40.54,39.5765,5753663
2024-07-17,40.62,41.14,40.56,40.9,39.9279,7445795
2024-07-18,40.63,41.355,40.465,40.56,39.596,6016158
2024-07-19,40.63,40.725,40.33,40.51,39.5472,5259134
2024-07-22,40.57,40.95,40.35,40.91,39.9377,5233048
2024-07-23,40.89,41.125,40.669,40.84,39.8694,4351574
2024-07-24,40.83,41.115,40.24,40.28,39.3227,5606854
2024-07-25,40.5,40.93,39.9729,40.06,39.1079,8353398
2024-07-26,40.23,40.87,40.18,40.73,39.762,5702963
2024-07-29,40.73,41.13,40.42,40.99,40.0158,5418157
2024-07-30,41.16,41.38,41.0,41.29,40.3087,4673987
2024-07-31,41.23,41.64,41.045,41.19,40.211,8786851
2024-08-01,41.62,41.91,41.39,41.83,40.8358,9813872
2024-08-02,41.85,42.3,41.49,41.86,40.8651,8818189
2024-08-05,41.27,41.8757,40.585,40.65,39.6839,14134900
2024-08-06,40.68,41.96,40.53,41.55,40.5625,11389380
2024-08-07,41.66,42.24,41.2045,41.25,40.2696,9907718
2024-08-08,41.16,41.649,41.06,41.6,40.6113,10383150
2024-08-09,41.78,41.92,41.32,41.81,40.8163,5454856
2024-08-12,41.63,41.67,41.2574,41.56,40.5723,4924537
2024-08-13,41.85,41.91,41.59,41.85,40.8554,3707148
2024-08-14,41.92,42.2,41.77,42.0,41.0018,3300738
2024-08-15,42.03,42.09,41.7005,41.88,40.8846,6282074
2024-08-16,41.84,42.0,41.65,41.86,40.8651,4212346
2024-08-19,41.86,42.15,41.835,42.11,41.1092,3971121
2024-08-20,42.09,42.255,41.945,42.15,41.1482,4828195
2024-08-21,42.18,42.35,41.94,42.29,41.2849,4214849
2024-08-22,42.35,42.55,42.22,42.55,41.5387,4953189
2024-08-23,42.71,43.45,42.645,43.37,42.3392,6135187
2024-08-26,43.58,43.67,43.2711,43.34,42.3099,4047839
2024-08-27,43.08,43.495,43.01,43.45,42.4173,3717634
2024-08-28,43.45,43.58,43.05,43.3,42.2709,5035150
2024-08-29,43.23,43.3,42.93,43.13,42.1049,5339921
2024-08-30,43.34,43.57,43.0,43.55,42.515,5611578
2024-09-03,43.27,43.86,43.25,43.65,42.6126,7579010
2024-09-04,43.75,44.2,43.525,43.75,42.7102,5855613
2024-09-05,44.08,44.0999,43.515,43.63,42.5931,5539196
2024-09-06,43.66,43.695,43.2332,43.63,42.5931,6671736
2024-09-09,43.63,44.258,43.57,44.15,43.1007,5070048
2024-09-10,44.34,44.96,44.26,44.93,43.8622,7884526
2024-09-11,44.53,44.87,44.01,44.81,43.745,5792161
2024-09-12,44.88,44.96,44.38,44.89,43.8231,4263523
2024-09-13,45.12,45.26,44.9751,45.21,44.1355,3707538
2024-09-16,45.42,45.5799,45.225,45.36,44.2819,4130234
2024-09-17,45.38,45.51,44.855,45.0,43.9305,5919405
2024-09-18,45.06,45.51,44.81,44.87,43.8036,6234531
2024-09-19,45.24,45.24,44.49,44.76,43.6962,4552415
2024-09-20,44.5,44.725,44.4,44.68,43.6181,4839842
2024-09-23,44.69,44.89,44.56,44.86,44.1013,4013691
2024-09-24,44.65,45.02,44.47,44.86,44.1013,4103795
2024-09-25,44.95,45.07,44.55,44.67,43.9145,3457164
2024-09-26,44.69,44.72,44.0701,44.23,43.4819,4552819
2024-09-27,44.54,44.645,44.22,44.29,43.5409,3613802
2024-09-30,44.13,44.7,44.05,44.67,43.9145,4930198
2024-10-01,44.8,44.88,44.2,44.4,43.649,6453068
2024-10-02,43.95,44.275,43.93,44.24,43.4918,4021989
2024-10-03,44.1,44.215,43.68,43.81,43.069,3504600
2024-10-04,43.56,43.59,43.1,43.52,42.7839,5386812
2024-10-07,43.24,43.29,42.9799,43.2,42.4693,3793483
2024-10-08,43.38,43.49,43.135,43.33,42.5971,4039762
2024-10-09,43.24,43.3858,43.08,43.35,42.6168,3338774
2024-10-10,43.11,43.47,42.84,42.99,42.2629,3659843
2024-10-11,43.22,43.44,43.095,43.43,42.6955,2312149
2024-10-14,43.32,43.79,43.21,43.73,42.9904,3542867
2024-10-15,43.92,44.64,43.89,44.28,43.5311,5176378
2024-10-16,44.38,44.785,44.25,44.72,43.9636,3662733
2024-10-17,44.59,44.63,44.26,44.43,43.6785,2934004
2024-10-18,44.52,44.7555,44.345,44.74,43.9833,3950789
2024-10-21,44.48,44.68,43.76,43.82,43.0789,5938742
2024-10-22,43.73,44.06,43.62,43.89,43.1477,4497435
2024-10-23,43.78,44.395,43.74,44.32,43.5704,4849721
2024-10-24,44.36,44.69,44.34,44.42,43.6687,3188602
2024-10-25,44.79,44.98,44.05,44.07,43.3246,4820655
2024-10-28,44.46,44.65,44.125,44.21,43.4623,3129226
2024-10-29,44.07,44.305,43.74,43.81,43.069,4557166
2024-10-30,43.85,44.29,43.79,43.97,43.2263,5513807
2024-10-31,43.5,43.89,43.19,43.2,42.4693,5866307
2024-11-01,43.49,43.545,42.71,42.74,42.0171,6141428
2024-11-04,42.92,43.29,42.875,43.22,42.489,6509860
2024-11-05,43.11,43.82,42.875,43.81,43.069,4747538
2024-11-06,43.42,43.66,42.19,42.64,41.9188,12721590
2024-11-07,42.8,43.29,42.72,43.17,42.4399,10597920
2024-11-08,43.37,44.035,43.32,43.91,43.1673,7348105
2024-11-11,43.85,44.0599,43.49,43.53,42.7938,7899374
2024-11-12,43.42,43.5801,42.965,42.98,42.2531,4972057
2024-11-13,43.46,43.65,43.245,43.32,42.5873,5095176
2024-11-14,43.25,43.25,42.875,42.93,42.2039,4860408
2024-11-15,42.73,43.059,42.605,42.98,42.2531,5875692
2024-11-18,42.79,43.37,42.68,43.36,42.6266,3812011
2024-11-19,43.23,43.67,43.045,43.54,42.8036,3693070
2024-11-20,43.29,43.53,43.13,43.47,42.7348,3198672
2024-11-21,43.51,43.905,43.32,43.76,43.0199,3070245
2024-11-22,43.93,44.17,43.89,44.09,43.3443,3333922
2024-11-25,44.36,44.88,44.32,44.68,43.9243,4626025
2024-11-26,44.63,44.98,44.465,44.9,44.1406,3183755
2024-11-27,45.11,45.4821,45.1,45.21,44.4453,3531539
2024-11-29,45.24,45.43,44.975,45.0,44.2389,3737545
2024-12-02,44.75,44.83,44.16,44.32,43.5704,4837608
2024-12-03,44.36,44.45,44.03,44.06,43.3148,4164874
2024-12-04,44.06,44.09,43.69,43.94,43.1968,3315789
2024-12-05,43.68,43.8604,43.55,43.83,43.0887,2971681
2024-12-06,43.95,44.08,43.565,43.77,43.0297,3624679
2024-12-09,43.85,43.9949,43.685,43.86,43.1182,5211017
2024-12-10,43.79,43.79,43.015,43.15,42.4202,4090583
2024-12-11,43.27,43.39,42.92,43.04,42.3121,4988955
2024-12-12,42.99,43.48,42.93,43.01,42.2826,3418107
2024-12-13,42.97,43.07,42.74,42.83,42.1056,3833363
2024-12-16,42.85,43.14,42.59,42.61,41.8893,3642957
2024-12-17,42.4,42.805,42.27,42.42,41.7025,5319122
2024-12-18,42.28,42.49,40.71,40.76,40.0706,9802601
2024-12-19,40.8,41.09,40.01,40.06,39.3825,8386861
2024-12-20,40.25,41.22,40.15,40.79,40.1001,9792575
2024-12-23,40.21,40.6,40.08,40.54,40.2826,6917309
2024-12-24,40.39,40.84,40.36,40.81,40.5508,2812129
2024-12-26,40.7,40.94,40.5,40.87,40.6105,4044817
2024-12-27,40.63,40.99,40.4,40.54,40.2826,4589111
2024-12-30,40.43,40.45,39.925,40.35,40.0938,4493628
2024-12-31,40.67,40.75,40.28,40.67,40.4117,7590697
2025-01-02,40.72,40.77,40.17,40.29,40.0341,9786451
2025-01-03,40.38,40.9,40.25,40.84,40.5806,5128577
2025-01-06,40.86,40.99,40.2201,40.28,40.0242,5980423
2025-01-07,40.42,40.635,39.885,39.98,39.7261,8867779
