Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,72.47,72.725,71.94,72.01,69.8738,10564410
2024-05-23,71.9,71.9,70.75,70.79,68.69,14359280
2024-05-24,70.97,71.78,70.84,71.5,69.3789,8183432
2024-05-28,71.57,71.86,71.28,71.43,69.311,8882667
2024-05-29,70.81,70.9,70.245,70.51,68.4183,14059300
2024-05-30,70.74,71.51,70.61,71.46,69.3401,9081054
2024-05-31,71.7,72.79,71.39,72.72,70.5627,12388810
2024-06-03,72.6,72.665,71.63,71.89,69.7573,18457859
2024-06-04,71.71,72.11,71.07,71.86,69.7282,14709790
2024-06-05,71.78,71.84,71.325,71.45,69.3304,8960150
2024-06-06,71.29,71.71,70.61,70.71,68.6123,9092443
2024-06-07,70.1,70.66,69.915,69.94,67.8652,8143408
2024-06-10,69.93,70.96,69.745,70.84,68.7385,9795789
2024-06-11,70.24,70.51,69.81,70.41,68.3212,11347400
2024-06-12,71.3,71.31,69.72,69.95,67.8749,12456080
2024-06-13,70.06,70.37,69.3813,70.11,68.0301,11487020
2024-06-14,69.7,70.03,69.41,69.94,67.8652,10140360
2024-06-17,69.57,69.73,69.1,69.17,67.118,10513210
2024-06-18,68.61,69.225,68.55,69.2,67.1471,12286790
2024-06-20,69.42,69.945,69.19,69.8,67.7293,13974040
2024-06-21,70.06,70.135,69.34,69.39,67.3315,9495596
2024-06-24,68.82,69.97,68.77,69.74,68.2168,8978368
2024-06-25,69.6,69.79,68.86,69.08,67.5712,12549820
2024-06-26,68.82,68.935,68.38,68.79,67.2876,6940983
2024-06-27,68.85,69.0,68.44,68.91,67.4049,5449893
2024-06-28,68.91,69.0,67.82,68.14,66.6517,11531680
2024-07-01,68.85,68.97,67.595,67.67,66.192,8378908
2024-07-02,67.83,68.145,67.72,68.02,66.5344,8362068
2024-07-03,68.12,68.91,67.99,68.43,66.9354,6620647
2024-07-05,68.54,68.84,68.23,68.55,67.0528,6915267
2024-07-08,68.61,68.84,68.355,68.62,67.1213,6817283
2024-07-09,68.62,69.4,68.55,68.82,67.3169,10800700
2024-07-10,69.08,69.49,68.56,69.47,67.9527,6899961
2024-07-11,69.82,70.93,69.79,70.74,69.195,14884060
2024-07-12,70.99,71.725,70.68,71.26,69.7036,8262080
2024-07-15,70.46,70.68,69.415,69.53,68.0114,14913850
2024-07-16,69.95,70.19,69.74,70.07,68.5396,7504578
2024-07-17,70.0,71.0,69.82,70.11,68.5787,13758030
2024-07-18,70.02,70.73,69.93,70.05,68.52,6771295
2024-07-19,70.18,70.345,69.71,70.13,68.5983,6492727
2024-07-22,70.5,70.88,70.26,70.72,69.1754,6482719
2024-07-23,70.58,70.711,70.23,70.28,68.745,6343339
2024-07-24,70.78,71.349,70.35,71.07,69.5178,12642360
2024-07-25,71.4,71.78,70.18,70.48,68.9406,13332980
2024-07-26,71.04,71.31,70.775,71.17,69.6156,8353301
2024-07-29,71.44,71.72,70.86,71.49,69.9286,7575600
2024-07-30,71.41,71.92,71.26,71.86,70.2905,8348198
2024-07-31,72.87,72.95,72.09,72.79,71.2002,10882670
2024-08-01,72.93,74.2,72.84,74.1,72.4816,16283730
2024-08-02,75.04,75.56,73.205,74.22,72.599,24128600
2024-08-05,74.61,74.61,72.18,72.26,70.6818,20549939
2024-08-06,72.54,73.71,72.49,72.87,71.2784,14643230
2024-08-07,73.47,74.135,73.0,73.28,71.6795,12379400
2024-08-08,73.0,73.805,72.79,73.36,71.7577,11680160
2024-08-09,73.54,73.71,72.345,73.61,72.0023,8354267
2024-08-12,73.63,73.7701,73.19,73.74,72.1294,7513563
2024-08-13,74.05,74.24,73.725,74.17,72.55,8537480
2024-08-14,74.0,74.56,73.57,74.12,72.5011,8082974
2024-08-15,73.69,74.3259,73.445,74.11,72.4914,9403828
2024-08-16,74.19,74.695,73.87,74.44,72.8142,6761385
2024-08-19,74.51,74.98,74.45,74.93,73.2934,5752690
2024-08-20,74.93,75.18,74.69,74.77,73.1369,7994998
2024-08-21,74.88,75.53,74.78,75.3,73.6554,6725932
2024-08-22,75.38,75.54,74.905,75.21,73.5673,7323967
2024-08-23,75.47,75.78,75.2,75.42,73.7727,7525204
