Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,145.86,146.945,145.77,146.51,144.1838,6831234
2024-05-23,146.27,146.2801,144.805,144.91,142.6092,5155939
2024-05-24,145.1,145.33,144.33,144.42,142.127,3949525
2024-05-28,144.1,144.1,142.07,142.67,140.4047,8375071
2024-05-29,141.45,141.73,140.95,141.56,139.3124,6838269
2024-05-30,140.99,142.14,140.675,141.63,139.3813,7395616
2024-05-31,142.08,143.775,141.91,143.7,141.4184,7945890
2024-06-03,143.6,145.135,143.35,144.71,142.4124,10298310
2024-06-04,144.58,145.53,144.04,145.13,142.8257,6964248
2024-06-05,145.3,145.945,144.49,145.79,143.4752,5373456
2024-06-06,145.68,146.58,145.18,146.27,143.9476,5425770
2024-06-07,146.13,147.16,145.96,146.43,144.105,5222299
2024-06-10,146.2,147.005,145.67,146.97,144.6365,5397727
2024-06-11,146.86,146.86,145.73,146.36,144.0362,5194123
2024-06-12,146.99,147.04,145.67,146.05,143.7311,6522859
2024-06-13,145.51,146.17,144.58,145.93,143.613,4720590
2024-06-14,145.63,145.92,145.025,145.88,143.5638,4109831
2024-06-17,145.26,145.955,144.96,145.73,143.4162,4542990
2024-06-18,145.89,146.4,145.6,145.92,143.6031,4872625
2024-06-20,145.47,146.59,145.27,146.4,144.0755,6653759
2024-06-21,146.59,147.12,146.235,146.81,144.479,8513040
2024-06-24,146.83,147.61,146.45,147.09,145.3213,6446290
2024-06-25,147.26,147.465,146.275,146.63,144.8668,5171672
2024-06-26,146.37,146.625,145.77,146.11,144.3531,4572683
2024-06-27,146.22,146.28,145.03,145.87,144.116,4637944
2024-06-28,146.41,147.02,145.1,145.75,143.9974,7656778
2024-07-01,146.04,147.485,144.6542,144.93,143.1873,6562067
2024-07-02,144.41,144.62,143.59,144.4,142.6636,7536335
2024-07-03,144.66,144.67,142.73,143.3,141.5769,7653965
2024-07-05,143.61,144.49,142.88,144.41,142.6735,4846865
2024-07-08,144.57,144.97,143.88,144.25,142.5154,4001547
2024-07-09,144.56,145.03,143.7,144.95,143.207,8337123
2024-07-10,145.11,146.34,144.79,146.32,144.5605,5342450
2024-07-11,146.33,147.74,146.15,147.35,145.5782,7692935
2024-07-12,147.85,148.885,147.74,148.27,146.4871,6614662
2024-07-15,148.84,148.98,147.53,147.75,145.9734,5804116
2024-07-16,148.64,149.89,148.31,149.86,148.058,7602476
2024-07-17,148.83,151.33,148.64,150.54,148.7298,10395530
2024-07-18,149.58,150.56,146.86,147.12,145.3509,11033370
2024-07-19,147.86,148.58,147.28,147.87,146.0919,5985687
2024-07-22,148.62,148.99,147.88,148.72,146.9317,5190313
2024-07-23,149.33,149.42,148.465,148.63,146.8428,3553334
2024-07-24,148.71,150.055,148.21,149.87,148.0679,6870395
2024-07-25,149.42,151.53,148.96,149.12,147.3269,11472750
2024-07-26,149.1,150.93,149.01,149.96,148.1568,6028837
2024-07-29,149.98,150.56,149.26,150.05,148.2457,8227400
2024-07-30,150.05,151.11,149.11,150.18,148.3741,7269477
2024-07-31,150.12,150.66,149.05,149.63,147.8307,8417891
2024-08-01,150.4,151.33,149.49,151.16,149.3424,10357710
2024-08-02,151.39,151.77,148.62,150.86,149.046,15742300
2024-08-05,148.5,148.79,146.19,146.83,145.0644,17575641
