Date,Open,High,Low,Close,Adj Close,Volume
2024-05-22,178.08,178.26,175.93,176.65,175.0931,3166138
2024-05-23,177.13,177.13,173.525,173.79,172.2583,3677277
2024-05-24,174.98,176.09,174.49,175.54,173.9929,2575073
2024-05-28,174.9,175.48,174.17,175.11,173.5667,2672109
2024-05-29,173.8,174.635,173.8,173.96,172.4269,2171995
2024-05-30,174.47,175.48,174.13,174.99,173.4478,2248342
2024-05-31,175.11,176.01,173.21,175.97,174.4191,3420217
2024-06-03,176.09,176.67,174.25,175.89,174.3398,3964491
2024-06-04,175.15,176.785,175.09,176.07,174.5183,2889964
2024-06-05,176.48,177.1,174.89,177.1,175.5392,2290989
2024-06-06,177.25,178.46,177.17,178.39,176.8178,2227829
2024-06-07,177.38,178.74,177.325,177.66,176.0942,2274317
2024-06-10,177.14,178.41,177.14,178.23,176.6592,1865622
2024-06-11,178.15,178.15,176.19,177.76,176.1934,2783038
2024-06-12,179.32,180.77,178.78,179.61,178.0271,3978771
2024-06-13,180.83,181.18,179.11,179.75,178.1658,2613494
2024-06-14,179.48,179.48,177.26,178.33,176.7583,3052793
2024-06-17,178.1,181.91,177.77,181.46,179.8608,3676631
2024-06-18,181.31,181.53,180.24,180.85,179.2561,2241988
2024-06-20,180.67,181.52,180.13,181.08,179.4841,2361421
2024-06-21,182.0,182.85,181.14,182.61,181.0006,4311603
2024-06-24,182.64,183.44,181.37,181.44,180.2278,2538955
2024-06-25,181.63,181.63,180.125,180.71,179.5027,2356424
2024-06-26,180.27,183.7,180.03,183.33,182.1052,2515892
2024-06-27,183.75,184.47,183.01,184.45,183.2177,2114153
2024-06-28,183.53,184.71,181.47,182.4,181.1814,3957276
2024-07-01,183.11,183.87,182.07,183.02,181.7973,3196701
2024-07-02,184.03,186.6,183.86,186.58,185.3335,2942271
2024-07-03,187.23,188.47,186.96,187.77,186.5155,2189806
2024-07-05,188.7,189.42,187.76,189.3,188.0353,1998211
2024-07-08,189.06,190.22,188.87,189.39,188.1247,1838522
2024-07-09,189.18,191.22,189.05,190.02,188.7505,1828037
2024-07-10,190.44,191.63,189.33,191.45,190.1709,2279145
2024-07-11,192.35,193.66,188.45,189.02,187.7572,4498409
2024-07-12,188.77,193.11,188.5,191.49,190.2107,2726826
2024-07-15,192.56,193.9,190.67,191.27,189.9921,2540158
2024-07-16,192.38,194.79,192.07,194.7,193.3992,2061656
2024-07-17,193.26,193.75,191.11,191.45,190.1709,2898572
2024-07-18,191.85,193.075,188.94,189.5,188.234,2187575
2024-07-19,188.79,189.56,187.05,187.81,186.5553,1936098
2024-07-22,189.17,190.535,188.44,189.88,188.6114,2404245
2024-07-23,190.61,190.91,188.94,189.03,187.7671,2411827
2024-07-24,184.84,184.92,181.21,181.3,180.0887,4100479
2024-07-25,181.27,183.76,180.04,180.59,179.3835,5120411
2024-07-26,181.92,183.57,181.46,182.61,181.39,2264705
2024-07-29,183.84,186.34,183.74,185.66,184.4196,3572998
2024-07-30,186.08,186.33,182.9,184.63,183.3965,2140514
2024-07-31,186.84,189.06,186.43,187.49,186.2374,2496875
2024-08-01,187.57,188.13,181.32,182.89,181.6681,3647850
2024-08-02,176.93,176.93,174.05,176.16,174.9831,6369369
2024-08-05,167.06,172.95,166.48,171.18,170.0364,8195879
2024-08-06,172.09,175.54,170.51,173.07,171.9137,4761702
2024-08-07,174.49,174.8,169.84,170.05,168.9139,4202160
2024-08-08,171.58,174.23,170.64,173.76,172.5991,2967591
